problem,algorithm,noise_pct,trial,igd_auc,final_igd,n_batches
DTLZ2_5obj,Traditional_NEHVI,20,9,7.003641629270517,0.4309517663900414,12
MW5,EGBO,0,0,0.0,0.0,12
MW5,EGBO,0,1,240.12242262194133,16.031348092271585,12
MW5,EGBO,0,2,259.9769615377887,21.670633332470487,12
MW5,EGBO,0,3,337.8677341746041,25.037283095900797,12
MW5,EGBO,0,4,433.0127962945725,22.714425723203888,12
MW5,EGBO,0,5,265.5071755549332,14.159967472150347,12
MW5,EGBO,0,6,309.8883231104961,24.485879762016477,12
MW5,EGBO,0,7,424.89245872452403,29.59409080892562,12
MW5,EGBO,0,8,284.8844116580512,18.154573601269476,12
MW5,EGBO,0,9,302.3450013157806,21.3646541821957,12
MW5,EGBO,1,0,0.0,0.0,12
MW5,EGBO,1,1,227.8281218531961,16.031348092271585,12
MW5,EGBO,1,2,270.4798917514483,21.670633332470487,12
MW5,EGBO,1,3,354.67992586271254,25.037283095900797,12
MW5,EGBO,1,4,285.2395132198956,22.714425723203888,12
MW5,EGBO,1,5,190.84210169087964,14.159967472150347,12
MW5,EGBO,1,6,336.67061511957235,24.485879762016477,12
MW5,EGBO,1,7,377.6894440371899,29.59409080892562,12
MW5,EGBO,1,8,281.47550409581623,18.154573601269476,12
MW5,EGBO,1,9,298.52473373657676,21.3646541821957,12
MW5,EGBO,5,0,0.0,0.0,12
MW5,EGBO,5,1,211.91294035172777,16.031348092271585,12
MW5,EGBO,5,2,295.140211447292,21.670633332470487,12
MW5,EGBO,5,3,383.0671195266795,25.037283095900797,12
MW5,EGBO,5,4,297.6108950581874,22.714425723203888,12
MW5,EGBO,5,5,191.02493675367035,14.159967472150347,12
MW5,EGBO,5,6,347.41571059725936,24.485879762016477,12
MW5,EGBO,5,7,441.26105258475803,29.59409080892562,12
MW5,EGBO,5,8,268.9108262819806,18.154573601269476,12
MW5,EGBO,5,9,314.67951941882336,21.3646541821957,12
MW5,EGBO,10,0,0.0,0.0,12
MW5,EGBO,10,1,228.4555329397804,16.031348092271585,12
MW5,EGBO,10,2,283.1134012846246,21.670633332470487,12
MW5,EGBO,10,3,369.50679026377895,25.037283095900797,12
MW5,EGBO,10,4,375.5185439319013,22.714425723203888,12
MW5,EGBO,10,5,172.8376516020502,14.159967472150347,12
MW5,EGBO,10,6,309.0091764598523,24.485879762016477,12
MW5,EGBO,10,7,439.00921080194183,29.59409080892562,12
MW5,EGBO,10,8,280.2896897239292,18.154573601269476,12
MW5,EGBO,10,9,322.8105870998662,21.3646541821957,12
MW5,EGBO,20,0,0.0,0.0,12
MW5,EGBO,20,1,240.47310095427866,16.031348092271585,12
MW5,EGBO,20,2,279.16186609187264,21.670633332470487,12
MW5,EGBO,20,3,322.0241648563691,25.037283095900797,12
MW5,EGBO,20,4,395.28135589849467,22.714425723203888,12
MW5,EGBO,20,5,192.63095821536,14.159967472150347,12
