problem,algorithm,noise_pct,trial,igd
ZDT3,NEHVI_AGE2,20,2,0.0026110206642028315
ZDT3,NEHVI_AGE2,20,3,0.003338989742863359
ZDT3,NEHVI_AGE2,20,4,0.003995846651037119
DTLZ2_5obj,Traditional_NEHVI,5,0,0.4355744783358182
DTLZ2_5obj,Traditional_NEHVI,5,1,0.44592804473351627
DTLZ2_5obj,Traditional_NEHVI,5,2,0.42412129438194746
DTLZ2_5obj,Traditional_NEHVI,5,3,0.4510729465972339
DTLZ2_5obj,Traditional_NEHVI,5,4,0.4428162996037448
DTLZ2_5obj,Traditional_NEHVI,5,5,0.4561959446190997
DTLZ2_5obj,Traditional_NEHVI,5,6,0.4463131671209828
DTLZ2_5obj,Traditional_NEHVI,5,7,0.4352776312938021
DTLZ2_5obj,Traditional_NEHVI,5,8,0.45667067781330706
DTLZ2_5obj,Traditional_NEHVI,5,9,0.4383691469609148
DTLZ2_5obj,Traditional_NEHVI,1,0,0.4355744783358182
DTLZ2_5obj,Traditional_NEHVI,1,1,0.44592804473351627
DTLZ2_5obj,Traditional_NEHVI,1,2,0.42412129438194746
DTLZ2_5obj,Traditional_NEHVI,1,3,0.4510729465972339
DTLZ2_5obj,Traditional_NEHVI,1,4,0.4428162996037448
DTLZ2_5obj,Traditional_NEHVI,1,5,0.4561959446190997
DTLZ2_5obj,Traditional_NEHVI,1,6,0.4463131671209828
DTLZ2_5obj,Traditional_NEHVI,1,7,0.4352776312938021
DTLZ2_5obj,Traditional_NEHVI,1,8,0.45667067781330706
DTLZ2_5obj,Traditional_NEHVI,1,9,0.4383691469609148
DTLZ2_5obj,Traditional_NEHVI,10,0,0.4355744783358182
DTLZ2_5obj,Traditional_NEHVI,10,1,0.44592804473351627
DTLZ2_5obj,Traditional_NEHVI,10,2,0.42412129438194746
DTLZ2_5obj,Traditional_NEHVI,10,3,0.4510729465972339
DTLZ2_5obj,Traditional_NEHVI,10,4,0.4428162996037448
DTLZ2_5obj,Traditional_NEHVI,10,5,0.4561959446190997
DTLZ2_5obj,Traditional_NEHVI,10,6,0.4463131671209828
DTLZ2_5obj,Traditional_NEHVI,10,7,0.4352776312938021
DTLZ2_5obj,Traditional_NEHVI,10,8,0.45667067781330706
DTLZ2_5obj,Traditional_NEHVI,10,9,0.4383691469609148
DTLZ2_5obj,Traditional_NEHVI,0,0,0.4355744783358182
DTLZ2_5obj,Traditional_NEHVI,0,1,0.44592804473351627
DTLZ2_5obj,Traditional_NEHVI,0,2,0.42412129438194746
DTLZ2_5obj,Traditional_NEHVI,0,3,0.4510729465972339
DTLZ2_5obj,Traditional_NEHVI,0,4,0.4428162996037448
DTLZ2_5obj,Traditional_NEHVI,0,5,0.4561959446190997
DTLZ2_5obj,Traditional_NEHVI,0,6,0.4463131671209828
DTLZ2_5obj,Traditional_NEHVI,0,7,0.4352776312938021
DTLZ2_5obj,Traditional_NEHVI,0,8,0.45667067781330706
DTLZ2_5obj,Traditional_NEHVI,0,9,0.4383691469609148
DTLZ2_5obj,Traditional_NEHVI,20,0,0.4355744783358182
DTLZ2_5obj,Traditional_NEHVI,20,1,0.44592804473351627
DTLZ2_5obj,Traditional_NEHVI,20,2,0.42412129438194746
DTLZ2_5obj,Traditional_NEHVI,20,3,0.4510729465972339
DTLZ2_5obj,Traditional_NEHVI,20,4,0.4428162996037448
DTLZ2_5obj,Traditional_NEHVI,20,5,0.4561959446190997
DTLZ2_5obj,Traditional_NEHVI,20,6,0.4463131671209828
DTLZ2_5obj,Traditional_NEHVI,20,7,0.4352776312938021
DTLZ2_5obj,Traditional_NEHVI,20,8,0.45667067781330706
DTLZ2_5obj,Traditional_NEHVI,20,9,0.4383691469609148
DTLZ2_5obj,EGBO,5,0,0.5336573975464128
DTLZ2_5obj,EGBO,5,1,0.509370984177837
DTLZ2_5obj,EGBO,5,2,0.4943898074458551
DTLZ2_5obj,EGBO,5,3,0.5522319094137188
DTLZ2_5obj,EGBO,5,4,0.5379416079100316
DTLZ2_5obj,EGBO,5,5,0.5607332069188724
DTLZ2_5obj,EGBO,5,6,0.4982922586836822
DTLZ2_5obj,EGBO,5,7,0.5120504357494022
DTLZ2_5obj,EGBO,5,8,0.5384735769072059
DTLZ2_5obj,EGBO,5,9,0.5244135544916916
DTLZ2_5obj,EGBO,1,0,0.5892054416881638
DTLZ2_5obj,EGBO,1,1,0.4914766954312879
DTLZ2_5obj,EGBO,1,2,0.5245325157254794
DTLZ2_5obj,EGBO,1,3,0.5786754199061549
DTLZ2_5obj,EGBO,1,4,0.4964561407368452
DTLZ2_5obj,EGBO,1,5,0.5122098364480894
DTLZ2_5obj,EGBO,1,6,0.5372962385432454
DTLZ2_5obj,EGBO,1,7,0.5257010400240142
DTLZ2_5obj,EGBO,1,8,0.5102192898951597
DTLZ2_5obj,EGBO,1,9,0.5410964636503175
DTLZ2_5obj,EGBO,10,0,0.4784320750859733
DTLZ2_5obj,EGBO,10,1,0.5216863245673169
DTLZ2_5obj,EGBO,10,2,0.5103737028982498
DTLZ2_5obj,EGBO,10,3,0.5095042462941872
DTLZ2_5obj,EGBO,10,4,0.5139722456087009
DTLZ2_5obj,EGBO,10,5,0.5296612844276913
DTLZ2_5obj,EGBO,10,6,0.5191584570080222
DTLZ2_5obj,EGBO,10,7,0.5063981471287513
DTLZ2_5obj,EGBO,10,8,0.5160416436627697
DTLZ2_5obj,EGBO,10,9,0.47105248579717895
DTLZ2_5obj,EGBO,0,0,0.5503612414826934
DTLZ2_5obj,EGBO,0,1,0.5203440623863883
DTLZ2_5obj,EGBO,0,2,0.497587238422801
DTLZ2_5obj,EGBO,0,3,0.5584521692356477
DTLZ2_5obj,EGBO,0,4,0.5101848757982116
