problem,algorithm,noise_pct,trial,batch,igd_estimated
DTLZ2_5obj,EGBO,10,0,0,0.9385410319635084
DTLZ2_5obj,EGBO,10,0,1,0.9340483000757037
DTLZ2_5obj,EGBO,10,0,2,0.9058571999575962
DTLZ2_5obj,EGBO,10,0,3,0.7837813077171041
DTLZ2_5obj,EGBO,10,0,4,0.7554887140044877
DTLZ2_5obj,EGBO,10,0,5,0.7554887140044877
DTLZ2_5obj,EGBO,10,0,6,0.7383507203474435
DTLZ2_5obj,EGBO,10,0,7,0.7383507203474435
DTLZ2_5obj,EGBO,10,0,8,0.6423111559507699
DTLZ2_5obj,EGBO,10,0,9,0.6423111559507699
DTLZ2_5obj,EGBO,10,0,10,0.5718640664255576
DTLZ2_5obj,EGBO,10,0,11,0.4692705159817542
DTLZ2_5obj,EGBO,10,1,0,1.0003179727951383
DTLZ2_5obj,EGBO,10,1,1,1.0003179727951383
DTLZ2_5obj,EGBO,10,1,2,1.0003179727951383
DTLZ2_5obj,EGBO,10,1,3,0.9166786052183353
DTLZ2_5obj,EGBO,10,1,4,0.9166786052183353
DTLZ2_5obj,EGBO,10,1,5,0.9166786052183353
DTLZ2_5obj,EGBO,10,1,6,0.9166786052183353
DTLZ2_5obj,EGBO,10,1,7,0.9166786052183353
DTLZ2_5obj,EGBO,10,1,8,0.6657085283817021
DTLZ2_5obj,EGBO,10,1,9,0.6657085283817021
DTLZ2_5obj,EGBO,10,1,10,0.5181023582658254
DTLZ2_5obj,EGBO,10,1,11,0.5001589863975692
DTLZ2_5obj,EGBO,10,2,0,0.9306957646605428
DTLZ2_5obj,EGBO,10,2,1,0.8843599986002286
DTLZ2_5obj,EGBO,10,2,2,0.8765119288660624
DTLZ2_5obj,EGBO,10,2,3,0.8262816919127645
DTLZ2_5obj,EGBO,10,2,4,0.7867151783149076
DTLZ2_5obj,EGBO,10,2,5,0.6972728126721378
DTLZ2_5obj,EGBO,10,2,6,0.6150279598606441
DTLZ2_5obj,EGBO,10,2,7,0.6072418419011341
DTLZ2_5obj,EGBO,10,2,8,0.4964277299123137
DTLZ2_5obj,EGBO,10,2,9,0.467109680927925
DTLZ2_5obj,EGBO,10,2,10,0.4658533667919788
DTLZ2_5obj,EGBO,10,2,11,0.4653478823302714
DTLZ2_5obj,EGBO,10,3,0,0.9505257253884105
DTLZ2_5obj,EGBO,10,3,1,0.9303159165763032
DTLZ2_5obj,EGBO,10,3,2,0.9303159165763032
DTLZ2_5obj,EGBO,10,3,3,0.9303159165763032
DTLZ2_5obj,EGBO,10,3,4,0.7281914299928244
DTLZ2_5obj,EGBO,10,3,5,0.6752777781464425
